REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,1000,1,2016,7,21,AGRF,AGRF_DEEP,NA,0.483333333,18.311364,-65.340659,10810839,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,12.19199961,12.80159959,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1001,1,2016,7,21,AGRF,AGRF_DEEP,NA,0.323333333,18.314301,-65.334751,10859025,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,9.143999707,10.36319967,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1002,1,2016,7,20,PTRF,PTRF_DEEP,NA,0.77,18.29841,-65.32479,10618177,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,15.84959949,16.45919947,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1003,1,2016,7,20,PTRF,PTRF_DEEP,NA,0.456666667,18.302022,-65.321482,10673240,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,15.84959949,17.06879945,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1004,1,2016,7,19,PVMT,PVMT_DEEP,NA,0.176666667,18.314352,-65.327262,10859041,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,14.93519952,15.5447995,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1005,1,2016,7,21,PVMT,PVMT_DEEP,NA,0.19,18.32018,-65.332698,10948495,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,12.4967996,13.41119957,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1007,1,2016,7,19,PVMT,PVMT_DEEP,NA,0.23,18.315688,-65.333288,10879674,EPRICO,NA,NA,NA,NA,NA,CLP,NA,DEEP,10.66799966,12.19199961,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1008,1,2016,7,19,AGRF,AGRF_SHLW,NA,0.45,18.312015,-65.335091,10824615,EPRICO,NA,NA,NA,NA,NA,CLP,NA,SHLW,3.962399873,4.571999854,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1009,1,2016,7,21,AGRF,AGRF_SHLW,NA,0.79,18.326903,-65.330947,11051729,EPRICO,NA,NA,NA,NA,NA,CLP,NA,SHLW,0.30479999,2.133599932,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,1010,1,2016,7,21,BDRK,BDRK_SHLW,NA,0.78,18.31059,-65.33875,10797079,EPRICO,NA,NA,NA,NA,NA,CLP,NA,SHLW,0.30479999,2.743199912,10,ACR CERV,Acropora cervicornis,0,0,NA,NA,NA,NA,NA,NA,NA
